Player,Hometown,High School,Class,Position,Seasons,seasons_played,lat,lon,state,country,is_illinois,is_us,is_international,has_geocode
James Griffin,"Grandview, Texas",Dunbar,,C,"['1978-79', '1979-80', '1980-81', '1981-82']",4,32.2666506,-97.1785429,TX,United States,False,True,False,True
Perry Range,"South Beloit, Ill.",South Beloit,,G,"['1978-79', '1979-80', '1980-81', '1981-82']",4,42.4930708,-89.0367764,IL,United States,True,True,False,True
Scott Palmer,,,,,['1981-82'],1,,,,,False,True,False,False
Bryan Leonard,"Belleville, Ill.",East,,C,"['1978-79', '1979-80', '1980-81', '1981-82', '1982-83']",5,38.5135805,-89.9841627,IL,United States,True,True,False,True
Derek Harper,"West Palm Beach, Fla.",North Shore,,G,"['1980-81', '1981-82', '1982-83']",3,26.715364,-80.0532942,FL,United States,False,True,False,True
Jay Daniels,"West Palm Beach, Fla.",Leonard,,F,"['1981-82', '1982-83']",2,26.715364,-80.0532942,FL,United States,False,True,False,True
Kevin Bontemps,"Morton, Ill.",Morton,,G,"['1979-80', '1980-81', '1981-82', '1982-83']",4,40.6127349,-89.459323,IL,United States,True,True,False,True
Mike O'Brien,"Peoria, Ill.",Richwoods,,G,"['1981-82', '1982-83']",2,40.6938609,-89.5891008,IL,United States,True,True,False,True
B.J. Jenkins,"Palatine, Ill.",Palatine,,F,['1983-84'],1,42.1105502,-88.0434304,IL,United States,True,True,False,True
Don Klusendorf,"Western Springs, Ill.",Lyons Township,,F,"['1982-83', '1983-84']",2,41.8096132,-87.900671,IL,United States,True,True,False,True
Dragomir Marinkovich,"Chicago, Ill.",Lane Tech,,F,['1983-84'],1,41.8755616,-87.6244212,IL,United States,True,True,False,True
Joe Klauke,,,,,['1983-84'],1,,,,,False,True,False,False
Quinn Richardson,"Robbins, Ill.",Eisenhower,,G,"['1979-80', '1980-81', '1981-82', '1982-83', '1983-84']",5,41.6439227,-87.7036602,IL,United States,True,True,False,True
Steven Freeman,"Chicago, Ill.",,,G,['1983-84'],1,41.8755616,-87.6244212,IL,United States,True,True,False,True
Tom Siegel,"Belleville, Ill.",East,,F,['1983-84'],1,38.5135805,-89.9841627,IL,United States,True,True,False,True
Dee Maras,"Antioch, Ill.",Antioch,,F,"['1981-82', '1982-83', '1983-84', '1984-85']",4,42.4767131,-88.0950691,IL,United States,True,True,False,True
George Montgomery,"Chicago, Ill.",Corliss,,C,"['1981-82', '1982-83', '1983-84', '1984-85']",4,41.8755616,-87.6244212,IL,United States,True,True,False,True
Scott Haffner,"Noblesville, Ind.",Noblesville,,G,['1984-85'],1,40.0460881,-86.0139854,IN,United States,False,True,False,True
Tom Schafer,"Algonquin, Ill.",Jacobs,,,"['1983-84', '1984-85']",2,42.1655801,-88.2942493,IL,United States,True,True,False,True
Anthony Welch,"Grand Rapids, Mich.",Creston,,F,"['1981-82', '1982-83', '1983-84', '1984-85', '1985-86']",5,42.9632425,-85.6678639,MI,United States,False,True,False,True
Brian Sterrett,,,,,['1985-86'],1,,,,,False,True,False,False
Bruce Douglas,"Quincy, Ill.",Quincy,,G,"['1982-83', '1983-84', '1984-85', '1985-86']",4,39.9356016,-91.4098727,IL,United States,True,True,False,True
